Time (s),Angle (deg)
0.076,-68.4
0.176,-68.23
0.276,-68.13
0.375,-68.08
0.475,-67.85
0.575,-67.68
0.674,-67.81
0.774,-67.87
0.873,-67.86
0.973,-67.82
1.073,-67.62
1.172,-67.82
1.272,-67.96
1.372,-67.99
1.471,-68.07
1.571,-68.21
1.671,-68.37
1.77,-68.12
1.869,-56.62
1.97,-21.06
2.069,14.83
2.168,34.17
2.268,28.33
2.368,9.08
2.467,-10.46
2.567,-19.09
2.667,-13.39
2.766,-3.13
2.866,0.54
2.965,-1.51
3.065,-1.2
3.165,-0.92
3.264,-1.54
3.364,-1.18
3.464,-1.3
3.563,-1.46
3.663,-1.22
3.763,-1.26
3.862,-1.4
3.961,-1.38
4.062,-1.24
4.161,-1.22
4.26,-1.32
