Segment,Start_Time,End_Time,Mean_Power,Std_Error,Std_Dev,Min_Power,Max_Power,Count
0-30s,0.0,29.969,37.2225,3.414234347208347,83.63132012944865,-1.1,473.1,600
30-60s,30.021,59.991,103.10199999999999,4.708712793943652,115.33943690476897,-0.9,485.4,600
60-90s,60.041,89.961,63.68196994991653,3.636407447521797,88.9991686225821,-1.2,508.1,599
90-120s,90.01,119.984,79.55633333333334,3.8734879276265173,94.88068947515623,-1.0,392.1,600
120-150s,120.033,149.954,79.84791318864774,3.844618750318553,94.0950312601324,-1.0,520.3,599
150-180s,150.003,179.976,125.73583333333333,5.855771534644475,143.43652310193352,-1.0,583.0,600
180-210s,180.025,209.995,94.405,4.535318435772336,111.09215988679784,-1.1,549.0,600
210-240s,210.044,239.968,58.02988313856427,3.4317579614036298,83.99047958363293,-1.1,497.9,599
240-270s,240.017,269.988,66.54183333333333,3.3847837517545663,82.90993081461973,-1.0,355.3,600
270-300s,270.037,299.961,73.16577629382304,3.4237195190825873,83.7937429159416,-1.0,356.4,599
300-330s,300.01,329.98,70.6105,3.3508572578385927,82.078904826062,-1.0,412.7,600
330-360s,330.032,359.953,70.59031719532554,3.7132136906858135,90.87896121603305,-1.1,562.5,599
360-390s,360.003,389.972,67.846,3.594653510855417,88.05066903699884,-1.0,442.4,600
390-420s,390.021,419.995,58.19649999999999,3.0585796851117144,74.91959566166148,-1.2,326.3,600
420-450s,420.044,449.964,52.85025041736227,2.9247104346832953,71.58075680600523,-1.0,423.0,599
450-480s,450.014,479.987,43.850500000000004,2.5922300962970137,63.49641031813385,-1.1,363.2,600
480-510s,480.036,509.957,73.41919866444073,3.4920047713000852,85.4649887167064,-0.9,353.6,599
510-540s,510.006,539.98,76.445,3.6889264819613206,90.3598757944549,-1.1,432.9,600
540-570s,540.029,569.999,69.731,3.3455107518693885,81.94794271074905,-0.9,401.6,600
570-600s,570.051,599.972,56.47913188647746,2.7969399723318924,68.4536416276587,-1.0,296.9,599
600-630s,600.021,629.991,56.64483333333334,3.0062503447282967,73.63779383650356,-1.0,407.1,600
630-660s,630.044,659.964,59.75008347245408,3.5682488517394564,87.33102267176326,-1.2,425.7,599
660-690s,660.014,689.984,57.626,4.090059217528973,100.1855810071301,-1.0,530.3,600
690-720s,690.033,701.742,34.51659574468085,5.777133321782562,88.56177681792437,-1.1,492.3,235
