File,Resistor (Ohm),Capacitor,Frequency (swings/min),Avg Power per Swing (mW),StdErr Power per Swing (mW),Avg Power in 30s (mW)
0.5ohm_1Capacitor.csv,0.5,1,102.50569476082006,92.23517181593733,8.170463528135274,94.19066666666667
1ohm_1Capacitor.csv,1.0,1,98.67247870021795,192.3045512351731,12.839499841374987,192.15433333333334
2ohm_1Capacitor.csv,2.0,1,73.25383304940375,321.60891804560737,27.42188358969718,336.1355
2.5ohm_1Capacitor.csv,2.5,1,72.60879683500117,358.4931955278132,18.77777345342322,329.1306666666667
3.3ohm_1Capacitor.csv,3.3,1,66.2251655629139,293.515030625825,14.624144146130257,306.4311666666667
5ohm_1Capacitor.csv,5.0,1,77.97270955165692,339.298546819315,13.84255895380787,333.31066666666663
10ohm_1Capacitor.csv,10.0,1,59.55033421105935,523.3734143158639,17.22282096852662,539.1148333333333
20ohm_1Capacitor.csv,20.0,1,60.25994486018117,318.907685275532,11.025279644653006,299.8435
20.1ohm_1Capacitor.csv,20.1,1,60.52269601100413,400.0623620453924,14.137654116406289,369.2273333333333
0.5ohm_5Capacitor.csv,0.5,5,88.1368538490145,208.27678459428822,16.621677039724094,261.39666666666665
1ohm_5Capacitor.csv,1.0,5,64.5933014354067,259.1744109994518,10.297517695262098,230.2363333333333
2ohm_5Capacitor.csv,2.0,5,70.0152207001522,354.6279171255175,14.470300652939489,361.94800000000004
2.5ohm_5Capacitor.csv,2.5,5,63.810110974106045,327.4582757889123,9.906251217008027,298.8675
3.3ohm_5Capacitor.csv,3.3,5,51.32337444988532,458.24669766458845,10.987882757257623,432.3445
5ohm_5Capacitor.csv,5.0,5,54.24175297850685,417.0993938344841,11.221007932444211,326.4823333333333
10ohm_5Capacitor.csv,10.0,5,55.04061156235068,554.883043295811,11.428156253384733,470.8933333333333
20ohm_5Capacitor.csv,20.0,5,53.99418524158937,407.1659547119356,13.44825532479546,478.43816666666663
