Timestamp,Gauge_AWG,Turns,ID_mm,Peak_Power_mW,Window_Avg_Power_mW,Output_Energy_mJ,Efficiency_Pct,Raw_File_Name,Notes
2026-02-04 09:32:51,32,1700,18,194.0,5.88,33.75,10.7525,
2026-02-04 09:33:55,32,1700,18,194.0,5.87,37.67,11.9999,
2026-02-04_09-44-47,32,1200,24,206.0,6.51,40.81,12.9999,32AWG_1200T_24mm_Data_2026-02-04_09-44-47.csv,
2026-02-04_09-45-55,32,1200,24,194.0,7.05,38.06,12.1251,32AWG_1200T_24mm_Data_2026-02-04_09-45-55.csv,
2026-02-04_09-46-28,32,1200,24,200.0,6.93,38.43,12.2414,32AWG_1200T_24mm_Data_2026-02-04_09-46-28.csv,
2026-02-04_09-47-48,32,1700,18,190.0,6.31,33.14,10.5576,32AWG_1700T_18mm_Data_2026-02-04_09-47-48.csv,
2026-02-04_09-48-20,32,1700,18,186.0,6.04,32.5,10.354,32AWG_1700T_18mm_Data_2026-02-04_09-48-20.csv,
2026-02-04_09-48-51,32,1700,18,190.0,4.6,32.86,10.4665,32AWG_1700T_18mm_Data_2026-02-04_09-48-51.csv,
2026-02-04_09-50-20,32,1200,30,180.0,7.32,35.37,11.2658,32AWG_1200T_30mm_Data_2026-02-04_09-50-20.csv,
2026-02-04_09-50-46,32,1200,30,190.0,6.91,35.98,11.4622,32AWG_1200T_30mm_Data_2026-02-04_09-50-46.csv,
2026-02-04_09-51-42,32,1200,30,194.0,7.35,36.67,11.6824,32AWG_1200T_30mm_Data_2026-02-04_09-51-42.csv,
2026-02-04_09-54-43,32,1700,24,186.0,7.52,25.21,8.0304,32AWG_1700T_24mm_Data_2026-02-04_09-54-43.csv,
2026-02-04_09-55-16,32,1700,24,186.0,6.99,28.0,8.9189,32AWG_1700T_24mm_Data_2026-02-04_09-55-16.csv,
2026-02-04_09-55-49,32,1700,24,176.0,6.45,26.9,8.5682,32AWG_1700T_24mm_Data_2026-02-04_09-55-49.csv,
2026-02-04_09-57-21,32,1700,30,164.0,8.85,17.13,5.4566,32AWG_1700T_30mm_Data_2026-02-04_09-57-21.csv,
2026-02-04_09-57-45,32,1700,30,194.0,9.76,19.27,6.1386,32AWG_1700T_30mm_Data_2026-02-04_09-57-45.csv,
2026-02-04_09-58-05,32,1700,30,180.0,10.33,16.22,5.1662,32AWG_1700T_30mm_Data_2026-02-04_09-58-05.csv,
2026-02-04_10-03-50,30,500,36,262.0,6.92,64.69,20.6068,30AWG_500T_36mm_Data_2026-02-04_10-03-50.csv,
2026-02-04_10-08-24,30,500,36,240.0,6.71,64.58,20.5721,30AWG_500T_36mm_Data_2026-02-04_10-08-24.csv,
