Time(s),Cap_V(V),Boost_V(V),Current(mA),Power(mW),RPM,Avg_RPM
1,0.08,0,-0.7,0,0,0
1.5,0.11,0,-0.6,0,0,0
2,0.14,0,-0.6,0,0,0
2.5,0.28,0.08,-0.2,0,0,0
3,0.72,0.5,-0.1,0,0,0
3.5,0.89,0.69,0.2,0.1,0,0
4,0.92,0.72,0.1,0.1,0,0
4.5,1.08,0.89,0.1,0.1,0,0
5,1.22,1.03,0.1,0.1,0,0
5.5,1.61,1.39,0.2,0.3,28,6
6,1.8,1.58,0.6,0.9,28,6
6.5,1.72,1.5,0.7,1,28,6
7,1.72,1.5,0.6,0.9,35,13
7.5,2.08,1.83,0.8,1.5,35,13
8,2.22,1.97,0.6,1.2,35,13
8.5,2.19,1.94,1,1.9,38,20
9,2.64,2.39,0.8,1.9,38,20
9.5,2.77,2.52,1.1,2.8,38,20
10,2.61,2.39,0.9,2.1,41,28
10.5,3.13,2.88,1.4,4,41,28
11,3.13,2.88,1.1,3.2,41,28
11.5,4.33,4.02,1.9,7.6,45,37
12,4.3,4.02,2,8,45,37
12.5,4.35,4.05,1.5,6.1,54,43
13,4.83,4.55,1.7,7.7,54,43
13.5,4.6,4.33,2.1,9.1,57,47
14,5.16,4.85,2,9.7,57,47
14.5,7.52,7.18,3,21.6,61,52
15,8.02,7.68,3.5,26.9,61,52
15.5,8.29,7.96,3.5,27.9,78,59
16,7.96,7.66,3.4,26,77,65
16.5,8.35,8.02,3.6,28.9,77,65
17,8.46,8.13,3.6,29.3,77,70
17.5,8.13,7.79,3.5,27.3,78,16
18,9.02,8.65,4,34.6,78,16
18.5,9.32,8.96,3.9,34.9,86,33
19,9.13,8.79,3.8,33.4,87,50
19.5,8.99,8.63,3.7,31.9,87,50
20,9.32,8.96,4,35.8,87,68
20.5,9.18,8.82,3.8,33.5,88,85
21,9.32,8.99,4,35.9,94,88
21.5,9.4,9.07,4,36.3,98,91
22,9.26,8.9,3.8,33.8,98,91
22.5,9.46,9.1,4.2,38.2,98,93
23,9.71,9.35,4,37.4,102,96
23.5,10.32,9.96,4.1,40.8,110,101
24,10.54,10.18,4.4,44.8,118,105
24.5,11.23,10.87,4.6,50,118,109
25,11.35,10.96,4.6,50.4,124,109
25.5,11.4,11.04,4.7,51.9,126,109
26,11.07,10.68,4.6,49.1,126,109
26.5,11.4,11.01,4.4,48.5,128,114
27,11.9,11.51,4.8,55.3,134,114
27.5,12.4,12.01,4.8,57.7,137,132
28,13.59,13.18,5.5,72.5,140,135
28.5,14.31,13.9,5.4,75,143,138
29,14.42,14.01,5.8,81.2,144,139
29.5,14.2,13.79,5.4,74.4,144,141
30,14.56,14.15,5.7,80.6,146,144
30.5,15.42,15.01,5.8,87,154,146
31,15.64,15.2,5.8,88.2,163,150
31.5,15.81,15.37,5.8,89.1,160,153
32,16.01,15.56,5.9,91.8,157,159
32.5,15.81,15.39,5.7,87.8,158,160
33,15.64,15.23,5.7,86.8,158,159
33.5,15.76,15.31,5.4,82.7,163,159
34,15.62,15.23,5.8,88.3,167,161
34.5,16.17,15.73,5.9,92.8,169,165
35,15.42,14.98,5.9,88.4,170,167
35.5,15.73,15.28,5.8,88.6,171,169
36,15.48,15.06,6,90.4,169,171
36.5,15.78,15.37,5.8,89.1,174,172
37,15.53,15.09,5.5,83,178,175
37.5,15.64,15.23,5.6,85.3,181,176
38,15.76,15.31,5.8,88.8,185,181
38.5,15.67,15.26,5.8,88.5,193,187
39,15.92,15.51,5.7,88.4,195,190
39.5,15.84,15.39,5.9,90.8,200,195
40,16.12,15.67,6.1,95.6,204,200
40.5,17.11,16.67,6.6,110,211,203
41,16.92,16.48,6.1,100.5,216,210
41.5,16.92,16.48,6.1,100.5,227,218
